n|msg_id|date|ticker|signal_type|suggested|text
59|4167|2025-12-17|—|take_profit|n|Profit out at 8.30 Fantastic trade
60|4168|2025-12-17|—|update|u|It halted down left the 5.50 order still but reduced the size of it .
61|4172|2025-12-17|—|cancel|s|The 5.50  order I am going to cancel in 2 minutes as I already made great trade with PCSA .
62|4175|2025-12-17|—|update|n|My order at 5 was very close to get fill but not yet
63|4176|2025-12-17|—|update|e|The 5.30 one filled completely
64|4192|2025-12-19|—|take_profit|n|If you ever bought throw this order pay attention to secure profit
65|4209|2025-12-22|—|exit|u|Filled me at 2.27 I will try to secure profit soon as I have to reset my trading apps also soon 🔜.  In 2.27 out at 2.36 not bad in less than two minutes.
66|4222|2025-12-22|—|cancel|n|Cancelled and edit the order to 0.715
67|4228|2025-12-23|—|take_profit|s|No order filled in the time frame . If any of you left the order might already filled a minute ago or so try to secure profit if you can. I may share another one but for now I will
68|4247|2025-12-23|—|exit|x|Closed another block at 0.3225 filled Got some ( 20% of my original size) left. Made decent win here enjoy team ✅
69|4262|2025-12-24|—|cancel|u|Expired with no fill . Will cancel and watch it for the next 2 to 3 minutes to see where the support
70|4273|2025-12-26|—|cancel|u|No fill in the time mentioned. I will keep it in the watch for a possible day trade regardless
71|4276|2025-12-26|—|entry|s|I am going to play a risk vs reward  I will add slowly between  6.45 up to 6.70 Will take profit on 70% of my holdings size prior to the data release.
72|4283|2025-12-26|—|entry|u|New plan 1.85 possible entry  Valid for 5 minutes only so far
73|4289|2025-12-29|—|update|e|Filled me at 0.455
74|4290|2025-12-29|—|take_profit|u|In the track to achieve the first successful day trade for the day ✅ Entry at 0.455 Sold 65% at 0.4880 Leaving the rest to see where goes ( I already secured my capital) ✅✅🦅
75|4321|2025-12-31|—|update|u|Filled me one order only the rest left open. Average cost so far around 1.08 .
76|4324|2025-12-31|—|exit|u|So far that 7.95 if you see the time mentioned was one of the best level for intra day . I sold at 9.45 in decent profit . No more day trades for me today unless something really i
77|4335|2026-01-02|—|cancel|u|Halted down as expected so canceled my order. I will replace it with a new one at 0.89 for a quick profit trade if it fills after the halt .
78|4369|2026-01-06|—|update|s|Filled two orders at 15.70 15.55
79|4378|2026-01-06|—|exit|e|Sold one more block at 16.30 filled
80|4387|2026-01-06|—|take_profit|x|Sold some more at 18.50 filled  What a great easy money  Left 15% of my holdings size to risk to the opening time .  I captured all my capital and good gain with it ✅
81|4431|2026-01-08|—|update|b|Got one order at 1.98 holding still
82|4365|2026-01-06|ALMS|entry|b|ALMS got new pre market . The price moved to almost 18 plus . I placed me an order at 15.75 for any quick trade pre market. Most likely will update this one around  9:00 AM US ET. 
83|4368|2026-01-06|ALMS|update|e|ALMs filled
84|4370|2026-01-06|ALMS|update|s|Averaged one more at 15.05 for that ALMS will see where it goes then .
85|4371|2026-01-06|ALMS|stop_loss_update|u|ALMS looks weak will most likely cut it if no support above 14.25 .
86|4374|2026-01-06|ALMS|update|n|Back green in my end ALMS ✅
87|4375|2026-01-06|ALMS|update|s|ALMS again back green: So far 4 orders: 15.70 15.55 15.08 14.75 All filled buy Sold one order to cover little of the cost at 15.82
88|4381|2026-01-06|ALMS|exit|b|ALMS  sold third order at  17.15 filled
89|4385|2026-01-06|ALMS|watchlist|s|ALMS 18
90|4396|2026-01-06|ALMS|exit|x|ALMS closed the last 15% around 21.45 didn’t want to risk holding them even it is small . I want to focus on other opportunities ✅!  It may move later and that’s always possible bu
91|4017|2025-12-09|OCG|watchlist|u|OCG Move there but honestly I don’t see any info about the volume or the reason! So I might be careful..
92|4020|2025-12-09|OCG|entry|u|OCG Broke few resistances I placed a small test at 5.65 It may halt down soon .
93|4021|2025-12-09|OCG|entry|u|OCG broke another resistance up switching my order to 6.39 Leave it for 9 minutes
94|4084|2025-12-12|OCG|entry|b|I placed on day trade at OCG 1.36 valid for 7 minutes will try to see if I can day trade this one .
95|4086|2025-12-12|OCG|exit|u|OCG needed to take extra caution sold at 1.43
96|4094|2025-12-12|OCG|watchlist|n|OCG another bullish bull flag halted up
97|4097|2025-12-12|OCG|entry|b|OCG I may trade it again Placed an order at  2.39 For the next 3 minutes especially if it halts down.  I will only watch it for 10 minutes after that I will be not watching it
98|4098|2025-12-12|OCG|cancel|u|OCG  Another halt up …. I will extend my watch to it but cancelled my last order.
99|4103|2025-12-12|OCG|watchlist|w|OCG risk vs reward move Very risky but I may get some around 0.20 if it gets there before the market close. Trying to see if it will have any bounce AH. Very risky move but honestl
100|4226|2025-12-23|PCLA|watchlist|w|PCLA Some volume plus price upside momentum. I am looking to day trade . May share an order soon 🔜
101|4231|2025-12-23|PCLA|entry|b|PCLA performed a great day trade today mentioned earlier here when it was below 0.26  I placed an order for another one at 0.32 Want to see if it can get there for any quick profit
102|4234|2025-12-23|PCLA|entry|u|PCLA  more than 700 M volume Team I may put an order after hours at  0.2875 Counting a possible 27% drop AH then a possible 16% to 18% reverse But if they announce any offering aut
103|4235|2025-12-23|PCLA|update|e|PCLA filled at 0.2875
104|4239|2025-12-23|PCLA|stop_loss_update|e|PCLA  MY SL is 0.25  I added little more at 0.2725  Will see where it goes I only used little money in it as you see the share price is already not big . So the risk for me even if
105|4240|2025-12-23|PCLA|update|n|PCLA back green up for me around 8%
106|4242|2025-12-23|PCLA|take_profit|u|PCLA my team I am securing half out at 0.307 filled
107|4248|2025-12-23|PCLA|update|u|PCLA  Got to 0.337 team  Suggested entry were 0.2875 to 0.2725 all filled
108|4266|2025-12-24|PCLA|take_profit|n|PCLA moved again Wow.. I was about to share another trade idea about it just 30 minutes ago … But yesterday we made some in it .  If you still have any from yesterday please pay at
109|4043|2025-12-10|BBGI|watchlist|u|BBGI  Got two bull flags back to back with a halt up action . I May Day trade it soon to cover any losses with POM so I can hold it. BBGI let us see if it will break a new intra da
110|4044|2025-12-10|BBGI|entry|b|BBGI  Halted down  After it got to a new intra day high . I placed an order at 10.70 trying to see if I can get a day trade in it. Will wait for it to unhalt first
111|4048|2025-12-10|BBGI|exit|b|BBGI filled me one order at 10.75  Sold quickly at 11.20 small profit trade
112|4049|2025-12-10|BBGI|watchlist|n|BBGI if you got any pay attention team
113|4056|2025-12-10|BBGI|update|n|BBGI got to 15.40
114|4057|2025-12-10|BBGI|watchlist|n|BBGI halted up again
115|4058|2025-12-10|BBGI|watchlist|n|BBGI  Another halt up
116|4091|2025-12-12|BBGI|watchlist|u|I am watching BBGI if it will drop below 6 again might swing it .
117|4336|2026-01-02|IMRX|stop_loss_update|u|IMRX  I will cut half of it if can’t hold above 6.30 and also for safety precautions before the incoming data. I tried to swing it and I didn’t get much of it so I am not intereste
118|4349|2026-01-05|IMRX|update|n|IMRX  I am still holding 60% of what I got last week . I am hoping to get some profit today or tomorrow at most will see!
119|4366|2026-01-06|IMRX|update|n|IMRX  As mentioned yesterday still holding around 60% my average so far is around 6.55 I may end up selling another 20% to risk 20% in any possible data. I am watching to see if it
120|4402|2026-01-07|IMRX|take_profit|n|Good early morning my incredible team! Reminder about  IMRX if you have any from last week alert ‼️. As you see 7 is in the bid price . I might secure profit gradually here as I al
121|4404|2026-01-07|IMRX|watchlist|n|Pay attention to IMRX team!
122|4408|2026-01-07|IMRX|watchlist|n|IMRX 7.50
123|4414|2026-01-07|IMRX|take_profit|s|IMRX as I don’t want to be greedy for the data AH. I secured more out at 8.33 Kept only very few Less than 7% of my holdings size to risk. Biotech wildlife taught me to be careful 
124|4418|2026-01-07|IMRX|exit|x|IMRX closed that 7% left at 7.12  I will watch for now …
125|3458|2025-10-13|ELBM|entry|b|ELBM day trade 3.49 SL 3.25 Valid for 4 minutes
126|3459|2025-10-13|ELBM|entry|b|ELBM still a hot one for day trade  New order 4.45 SL 4.15 Valid for 4 minutes
127|3465|2025-10-14|ELBM|watchlist|u|ELBM I placed a price alert at 5.30 Not an order only alert 🚨. I will keep you posted
128|3469|2025-10-14|ELBM|entry|w|ELBM I am going to start with a 4.65 filled for me might add more if it drops below 4.50  So far 4 is mySL for a swing
129|3479|2025-10-14|ELBM|update|s|I am still holding ELBM took some profit out around 5 but left 70% to hold overnight. Risky move but I am fine as I made good in other trades
130|3483|2025-10-15|ELBM|update|x|ELBM  I am still slightly up there . I am watching to see if I will exit and closed today .
131|3487|2025-10-15|ELBM|exit|x|ELBM closed at a minor ( no loss no profit ) at 4.50
132|4033|2025-12-10|POM|entry|w|POM I placed orders at  1.08 1.12 1.20 Valid for the next 15 minutes only so far! As it may be oversold around that. Stock already down 73% pre market. I will keep watching it.
133|4034|2025-12-10|POM|update|n|POM halted down my orders to stay so far as it was
134|4035|2025-12-10|POM|update|e|POM might halt down again but still my orders open. Nothing filled from them .
135|4036|2025-12-10|POM|cancel|u|POM Cancelled the 1.20 left the others  1.12 1.08
136|4038|2025-12-10|POM|update|b|POM very close to fill my first order at 1.12 but yet no fill I was able to predict those levels since it was around 1.70 when market opened . You all saw it.
137|4040|2025-12-10|POM|update|s|POM got one order filled
138|4045|2025-12-10|POM|take_profit|s|POM too much risk .. I am going to cut half and leave only half it is not holding a support .
139|3453|2025-10-10|OCGN|watchlist|u|Major sell off in the market  OCGN at 1.60 I will add some for long / swing
140|3462|2025-10-13|OCGN|watchlist|n|OCGN
141|3476|2025-10-14|OCGN|take_profit|u|In swing OCGN I am taking some profit out now around 1.64 and will keep the rest to see where it goes . It is up to you to decide the size
142|3482|2025-10-15|OCGN|take_profit|n|OCGN took out little more profit at 1.68 for the swing left the rest. SLS still holding 80% of what I got yesterday at 1.89 .
143|3496|2025-10-15|OCGN|exit|x|OCGN closed my swing at 1.71  Entry was averaged around 1.53
144|3987|2025-12-08|TWG|watchlist|b|TWG might still have another trade If halted down in the coming 3 minutes  I may place an order at  18.75
145|3989|2025-12-08|TWG|update|b|TWG  Bull flag volume increased by 8% in the last 20 seconds  Still I left my order at 18.75 open
146|3991|2025-12-08|TWG|update|e|TWG got filled 18.76 18.40 I will sell 80% as I have a lot of other tasks .
147|3992|2025-12-08|TWG|exit|x|TWG closed that last trade with small profit . Still holding GURE so far the only hold from today trades.
148|3994|2025-12-08|TWG|exit|n|Pay attention to TWG if you bought it team. Again I needed to close it with slight gain because I got to deal with other trades .
149|3485|2025-10-15|GNPX|watchlist|u|I noticed an interesting  3 bull flags pre market in  GNPX with  volume increasing rapidly. I am watching to see if I may trade it.
150|3488|2025-10-15|GNPX|entry|b|GNPX Day trade  0.58 SL 0.52 Valid for 4 minutes
151|3490|2025-10-15|GNPX|cancel|u|GNPX broke another resistance so will cancel my order and might share another one
152|3504|2025-10-16|GNPX|entry|w|GNPX placed a price alert at 0.56 and might get some around 0.52 if it gets there today for swing valid as long no public offering till 11 AM US ET . I might edit it if needed
153|3486|2025-10-15|OMER|watchlist|u|OMER is moving on good news might be a top target for day trading today . I will keep you posted
154|3505|2025-10-16|OMER|watchlist|u|OMER  I am watching to see if we can get a swing in it
155|4285|2025-12-26|OMER|watchlist|x|OMER is heading to a bullish close team. I know the price tag is already high . But if you remember I started OMER here when it was around 8 few weeks ago. I got some profit out at
156|4329|2025-12-31|OMER|update|s|OMER IMRX still in my holding going through the new year eve ✅!
157|4198|2025-12-22|SIDU|watchlist|u|SIDU  I like the news. But the volume and the float not the best. I am waiting to see if it can break up for another 15% then I may try to place it in the 2 minutes scale for resis
158|4206|2025-12-22|SIDU|watchlist|n|SIDU Is getting some push let us see
159|4208|2025-12-22|SIDU|entry|n|Pay attention to SIDU team Trying another order at 2.28  Traded it once from 1.89 to 2.18 now trying one more time
160|4210|2025-12-22|SIDU|update|u|SIDU got 2.40 so in case you got around 2.28 the order I shared .
161|3472|2025-10-14|SLS|watchlist|u|SLS so far I am looking to see if it will get to 1.88 to 1.84 If not I will pass for today and may visit it tomorrow again will watch.
162|3495|2025-10-15|SLS|exit|s|SLS took out my profit from the swing at 2.24  Still holding my other holds that I added previously.  I am only here talking about my swing trade  Entry  1.89 Out  2.24 Enjoy
163|4016|2025-12-09|SLS|update|n|SLS 1.90 plus We are doing so good there team Remember last week or so added below 1.45 Holding strong still
164|4214|2025-12-22|SLS|take_profit|u|SLS If you  remember adding zone shared here few weeks ago was 1.45 and below we got that. 85% profit since then It is up to you where you want to secure profit in those biotech. I
165|4352|2026-01-05|TMDE|entry|b|VRME Made a successful trade from 0.92 to 1.12 Will watch to see if more trading levels might show. Another one  TMDE I placed a day trade order at  0.86
166|4353|2026-01-05|TMDE|watchlist|n|TMDE halted up
167|4355|2026-01-05|TMDE|update|n|TMDE halted down kept my order at 0.86 to see if any will fill
168|4357|2026-01-05|TMDE|entry|b|TMDE Placed a new day trade order at 1.05 valid for 10 minutes
169|4201|2025-12-22|HXHX|entry|b|HXHX intra day day trade. Placed an order at 0.695 For the next 6 minutes
170|4217|2025-12-22|HXHX|entry|u|Interested price action in HXHX  The one mentioned here earlier. I placed an order at  0.935  if it can’t fill in the coming  4 minutes will cancel and watch the AH action in it.
171|4221|2025-12-22|HXHX|entry|b|HXHX placed me an order at  0.74 I will watch to see if any will fill for any 15% profit trade.
172|4334|2026-01-02|LVRO|entry|b|LVRO entered a day trade zone with two bull flags in the last 8 minutes. I placed an order for day trade at  1.05 valid for 5 minutes . If it halts down in the next 2 minutes I wil
173|4338|2026-01-02|LVRO|take_profit|n|Some of you got LVRO based on few personal texts I got. I am so happy for anyone got any of it as I didn’t yet ( full transparency as usual) but if you got any pay attention as it 
174|4339|2026-01-02|LVRO|watchlist|n|LVRO another halt up!
175|4162|2025-12-17|PCSA|entry|b|PCSA Entered at 6.53 might exit after the halt. Placed another order at 5.50 will see if it will fill in the next 5 minutes
176|4173|2025-12-17|PCSA|cancel|b|Halt down in PCSA with major sell orders in level 2. Just be careful team again I cancelled my open order at 5.50 personally but you can try it out for quick in out
177|4174|2025-12-17|PCSA|watchlist|n|PCSA halted up
178|3442|2025-10-09|PSTV|watchlist|w|PSTV I placed a price alert ‼️ ( price alert not an order) at 0.69
179|3499|2025-10-15|PSTV|update|n|PSTV Placed a price alerts at 0.61
180|3513|2025-10-16|PSTV|entry|b|PSTV if it gets to  0.56 AH I am adding some for swing . Valid till 07:00 PM US ET
181|4286|2025-12-26|RPGL|watchlist|u|Good evening my great team. I noticed few moves AH but honestly most of them among what you can call ( pump and dump action) RPGL  Moved AH  No actual material news. Volume low. It
182|4288|2025-12-29|RPGL|watchlist|u|RPGL still a potential day trade pre market. I may try to get some between  0.435 up to 0.455 If it gets there in the coming 15 minutes for a quick 15% to 25% trade
183|4291|2025-12-29|RPGL|exit|x|RPGL if you got any from pre market it is moving. Sold the 35% ( left over ) at 0.52 closed ✅
184|4341|2026-01-02|AIM|update|s|AIM so far 7% up from my trade I shared here. Holding still
185|4361|2026-01-05|AIM|take_profit|n|AIM If you have any from my previous alert ‼️ here . Pay attention if you want to secure any profit !
186|3454|2025-10-10|AKBA|watchlist|w|I might add AKBA around 2.69 if it gets there today for a swing
187|3497|2025-10-15|AKBA|watchlist|n|AKBA  This one got a good swing
188|4120|2025-12-15|AMCI|entry|b|AMCI Placed an order at 5.80 for day trade  It has 50/50 chance to halt up or down in the coming 3 minutes. So I placed my order and waiting
189|4121|2025-12-15|AMCI|entry|w|AMCI  dropped to 6.19 the lowest then got a bull flag up to 8.18  Switched my order to 6.95 for the next 4 minutes only. Let’s us see what might happen
190|4315|2025-12-30|ANGH|watchlist|w|ANGH I will add this to my pre market watch list tomorrow. It moved AH but the volume is fragile and no clear bull flag but it may change in the pre market. I wanted to keep you po
191|4316|2025-12-31|ANGH|watchlist|n|Good morning 🌞. My great team here .  So far ANGH the only stock I watched from last night through the pre market. Some of you traded it already ✅ I may trade it if it can fill me 
192|4183|2025-12-18|ATHA|watchlist|n|So far from scanning the pre market activities. ATHA is moving based on news but the move still weak with low volume. I will keep watching it in case anything changes.
193|4184|2025-12-18|ATHA|watchlist|u|ATHA still the one I am focused on for day trade
194|3508|2025-10-16|DRMA|watchlist|w|The special stock is DRMA: I was conducting my research in the last 7 weeks. I watched it from multiple perspectives. So far : As a risk we must all be aware of it all trades can b
195|4254|2025-12-24|DRMA|take_profit|n|If you have DRMA based on any previous alerts I shared here pay attention to secure profit as it is moving and this stock usually moves up then drop .
196|3493|2025-10-15|GNS|watchlist|u|I am keeping an eye on GNS team… I am preparing a plan to share about this one as it may have a day to move up big soon 🔜
197|4232|2025-12-23|GNS|watchlist|u|GNS This stock good for swing if you catch the real support on the 30 days chart. I may place a price alert 🔔 at 0.52~0.55 For the next 24-48 hours
198|4026|2025-12-09|HSPO|entry|b|HSPO  Another low float mover AH Too risky with a high price tag ( above 30 AH )  Regardless I put an order at  31.75 to try it out for the next 5 minutes
199|4029|2025-12-09|HSPO|watchlist|u|HSPO still the top one  IPW dropped bad so might only keep watching HSPO
200|4320|2025-12-31|INBS|watchlist|u|INBS in the day trade zone : It got a halt up some news and it is a low float. In the other hand the stock got a reputation of not keeping value and drastically decreasing after ev
